OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
271,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Capral (Aluminium Smelter),Decommissioned,,Natural Gas,300,3,Loxford,New South Wales,3,151.4813105,-32.7897103
272,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Colongra,Operational,Open Cycle Gas Turbine,Natural Gas,724,4,Colongra,New South Wales,5,151.5447905,-33.2098563
273,Power Station,A facility used for the generation of electrical power for distribution,Renewable,EarthPower Biomass Plant,Operational,Spark Ignition Reciprocating Engine,Biogas,3.9,0,Rosehill,New South Wales,5,151.0420425,-33.8203603
274,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Eraring,Operational,Open Cycle Gas Turbine,Distillate,41.5,1,Eraring,New South Wales,5,151.5223356,-33.0617361
275,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Visy Pulp and Paper Tumut,Operational,Cogeneration,Biomass,20,1,Gadara,New South Wales,3,148.1370577,-35.2959201
276,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Glenbawn,Operational,Hydroelectric - Gravity,Water,5.8,1,Glenbawn,New South Wales,5,150.9981597,-32.1096483
277,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Glennies Creek,Operational,Reciprocating Engine,Coal Seam Methane,13,13,Middle Falbrook,New South Wales,5,151.1286326,-32.4598303
278,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Hunter,Operational,Compression Reciprocating Engine,Distillate,29,16,Abermain,New South Wales,5,151.4504765,-32.8360083
279,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Hunter Valley,Operational,Open Cycle Gas Turbine,Natural Gas,50,2,Muswellbrook,New South Wales,4,150.9664017,-32.3892403
280,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Kangaroo Valley (Shoalhaven Scheme),Operational,Hydroelectric - Pumped Storage,Water,160,2,Kangaroo Valley,New South Wales,5,150.4795354,-34.7229573
281,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Liddell,Operational,Steam Subcritical,Coal,2200,4,Muswellbrook,New South Wales,5,150.9775757,-32.3712543
282,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Mt Piper,Operational,Steam Subcritical,Coal,1400,2,Blackmans Flat,New South Wales,5,150.031328,-33.3588794
283,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Munmorah,Decommissioned,Steam Subcritical,Coal,600,2,Colongra,New South Wales,5,151.5418425,-33.2116783
